iter	Passed	Remaining
469	707	798
470	708	795
471	709	793
472	710	791
473	711	789
474	712	787
475	713	785
476	714	783
477	716	782
478	717	780
479	719	779
480	720	777
481	722	776
482	723	774
483	724	772
484	725	770
485	726	768
486	727	766
487	728	764
488	729	762
489	732	762
490	733	760
491	734	758
492	735	756
493	736	754
494	737	752
495	738	750
496	740	748
497	741	746
498	742	745
499	743	743
500	744	741
501	745	739
502	746	738
503	748	736
504	749	735
505	751	733
506	752	731
507	753	729
508	754	727
509	755	725
510	756	723
511	757	721
512	758	720
513	759	718
514	763	719
515	764	717
516	765	715
517	766	713
518	767	711
519	768	709
520	769	707
521	770	705
522	771	703
523	772	701
524	773	700
525	775	698
526	776	697
527	777	695
528	779	693
529	780	691
530	781	689
531	781	687
532	782	686
533	784	684
534	785	682
535	786	680
536	787	678
537	788	676
538	791	676
539	792	674
540	793	673
541	794	671
542	795	669
543	796	667
544	797	665
545	798	663
546	799	661
547	800	660
548	801	658
549	802	656
550	803	655
551	805	653
552	807	652
553	808	650
554	809	649
555	810	647
556	811	645
557	813	644
558	814	642
559	815	640
560	816	639
561	820	639
562	821	637
563	822	635
564	823	634
565	825	632
566	827	631
567	828	629
568	829	628
569	830	626
570	831	624
571	832	622
572	833	620
573	834	619
574	835	617
575	837	616
576	837	614
577	838	612
578	839	610
579	840	608
580	841	607
581	842	605
582	843	603
583	845	602
584	846	600
585	849	600
586	850	598
587	851	596
588	852	594
589	853	593
590	854	591
591	855	589
592	856	587
593	857	586
594	858	584
595	859	582
596	860	580
597	861	579
598	863	578
599	865	576
600	866	575
601	867	573
602	867	571
603	868	569
604	869	567
605	870	566
606	871	564
607	872	562
608	873	561
609	874	559
610	875	557
611	879	557
612	880	555
613	881	553
614	882	552
615	883	550
616	884	548
617	884	546
618	885	545
619	886	543
620	887	541
621	888	540
622	889	538
623	891	536
624	892	535
625	894	534
626	895	532
627	896	530
628	897	529
629	898	527
630	899	526
631	900	524
632	901	522
633	902	521
634	903	519
635	904	517
636	905	515
637	909	515
638	910	514
639	911	512
640	912	510
641	912	509
642	913	507
643	914	505
644	915	504
645	916	502
646	917	500
647	918	499
648	919	497
649	920	495
650	922	494
651	923	492
652	925	491
653	926	490
654	927	488
655	928	486
656	929	485
657	930	483
658	931	481
659	932	480
660	933	478
661	934	477
662	937	476
663	939	475
664	940	473
665	940	471
666	941	470
667	943	468
668	944	467
669	945	465
670	946	463
671	946	462
672	947	460
673	948	458
674	949	457
675	952	456
676	953	454
677	954	453
678	955	451
679	956	450
680	957	448
681	958	446
682	959	445
683	960	443
684	961	442
685	962	440
686	963	439
687	964	437
688	966	436
689	967	434
690	968	433
691	969	431
692	970	429
693	971	428
694	972	426
695	973	425
696	974	423
697	975	421
698	976	420
699	977	418
700	977	417
701	980	416
702	981	414
703	982	413
704	983	411
705	984	409
706	985	408
707	986	406
708	987	405
709	988	403
710	989	402
711	990	400
712	991	398
713	992	397
714	995	396
715	996	395
716	997	393
717	998	392
718	999	390
719	1000	389
720	1001	387
721	1002	386
722	1003	384
723	1004	382
724	1005	381
725	1006	379
726	1007	378
727	1009	377
728	1011	375
729	1012	374
730	1013	372
731	1014	371
732	1015	369
733	1016	368
734	1017	366
735	1018	365
736	1019	363
737	1020	362
738	1021	360
739	1021	359
740	1023	357
741	1024	356
742	1025	354
743	1027	353
744	1028	352
745	1029	350
746	1030	349
747	1031	347
748	1032	346
749	1033	344
750	1034	342
751	1036	341
752	1037	340
753	1039	339
754	1040	337
755	1041	335
756	1041	334
757	1042	332
758	1043	331
759	1044	329
760	1045	328
761	1046	326
762	1047	325
763	1048	323
764	1049	322
765	1052	321
766	1053	320
767	1054	318
768	1055	317
769	1056	315
770	1057	313
771	1058	312
772	1059	311
773	1059	309
774	1060	307
775	1061	306
776	1062	305
777	1063	303
778	1066	302
779	1067	301
780	1069	299
781	1070	298
782	1071	296
783	1072	295
784	1073	293
785	1074	292
786	1074	290
787	1075	289
788	1076	287
789	1077	286
790	1078	284
791	1081	284
792	1082	282
793	1083	281
794	1084	279
795	1085	278
796	1086	276
797	1087	275
798	1088	273
799	1089	272
800	1090	270
801	1091	269
802	1092	267
803	1092	266
804	1093	265
805	1096	263
806	1097	262
807	1098	261
808	1099	259
809	1100	258
810	1101	256
811	1102	255
812	1103	253
813	1104	252
814	1105	250
815	1106	249
816	1107	247
817	1107	246
818	1111	245
819	1112	244
820	1113	242
821	1114	241
822	1115	239
823	1116	238
824	1117	237
825	1118	235
826	1119	234
827	1120	232
828	1120	231
829	1121	229
830	1122	228
831	1125	227
832	1126	225
833	1127	224
834	1128	223
835	1129	221
836	1130	220
837	1131	218
838	1132	217
839	1133	215
840	1134	214
841	1135	213
842	1136	211
843	1137	210
844	1140	209
845	1141	207
846	1142	206
847	1143	205
848	1144	203
849	1145	202
850	1146	200
851	1147	199
852	1148	197
853	1149	196
854	1150	195
855	1151	193
856	1152	192
857	1154	191
858	1155	189
859	1156	188
860	1157	186
861	1158	185
862	1159	184
863	1160	182
864	1161	181
865	1162	179
866	1163	178
867	1164	177
868	1165	175
869	1166	174
870	1167	172
871	1170	171
872	1171	170
873	1172	169
874	1173	167
875	1174	166
876	1175	164
877	1176	163
878	1177	162
879	1178	160
880	1179	159
881	1180	157
882	1181	156
883	1182	155
884	1184	153
885	1185	152
886	1186	151
887	1187	149
888	1188	148
889	1189	147
890	1190	145
891	1191	144
892	1193	142
893	1194	141
894	1195	140
895	1196	138
896	1199	137
897	1200	136
898	1201	135
899	1202	133
900	1203	132
901	1205	130
902	1206	129
903	1207	128
904	1208	126
905	1209	125
906	1210	124
907	1211	122
908	1213	121
909	1214	120
910	1215	118
911	1216	117
912	1217	116
913	1218	114
914	1219	113
915	1220	111
916	1221	110
917	1222	109
918	1223	107
919	1224	106
920	1225	105
921	1226	103
922	1231	102
923	1232	101
924	1233	99
925	1234	98
926	1235	97
927	1236	95
928	1237	94
929	1238	93
930	1239	91
931	1240	90
932	1241	89
933	1242	87
934	1243	86
935	1245	85
936	1246	83
937	1247	82
938	1248	81
939	1249	79
940	1250	78
941	1251	77
942	1252	75
943	1253	74
944	1254	73
945	1255	71
946	1258	70
947	1259	69
948	1260	67
949	1261	66
950	1262	65
951	1263	63
952	1264	62
953	1265	61
954	1266	59
955	1267	58
956	1268	56
957	1269	55
958	1270	54
959	1271	52
960	1272	51
961	1274	50
962	1275	48
963	1276	47
964	1277	46
965	1278	44
966	1279	43
967	1279	42
968	1280	40
969	1281	39
970	1282	38
971	1283	36
972	1284	35
973	1287	34
974	1288	33
975	1289	31
976	1290	30
977	1291	29
978	1292	27
979	1293	26
980	1294	25
981	1295	23
982	1296	22
983	1297	21
984	1297	19
985	1298	18
986	1299	17
987	1301	15
988	1302	14
989	1303	13
990	1304	11
991	1305	10
992	1306	9
993	1307	7
994	1308	6
995	1309	5
996	1310	3
997	1311	2
998	1312	1
999	1313	0
